Datetime,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,MACD,MACDs,RSI,trend_long_ok_current,trend_short_ok_current,macd_up_ok_current,macd_down_ok_current,rsi_up_ok_current,rsi_down_ok_current,buy_signal_current,sell_signal_current,signal_current,matches_criteria_current,trend_long_ok_aggressive,trend_short_ok_aggressive,macd_up_ok_aggressive,macd_down_ok_aggressive,rsi_up_ok_aggressive,rsi_down_ok_aggressive,buy_signal_aggressive,sell_signal_aggressive,signal_aggressive,matches_criteria_aggressive,trend_long_ok_conservative,trend_short_ok_conservative,macd_up_ok_conservative,macd_down_ok_conservative,rsi_up_ok_conservative,rsi_down_ok_conservative,volume_ok_conservative,buy_signal_conservative,sell_signal_conservative,signal_conservative,matches_criteria_conservative
2025-06-24 14:45:00-04:00,607.1521,607.35,607.02,607.305,1396605,606.1776,601.1032,599.9552,1.7466,1.9717,72.4982,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 15:00:00-04:00,607.31,607.64,607.3,607.55,3931718,606.3511,601.3596,599.9779,1.6947,1.9163,73.618,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 15:15:00-04:00,607.545,607.69,607.455,607.505,1630151,606.4963,601.6003,599.9995,1.6311,1.8593,73.03,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 15:30:00-04:00,607.51,607.8499,607.43,607.67,3282180,606.6178,601.8207,600.0257,1.5758,1.8026,73.8548,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 15:45:00-04:00,607.67,607.8,606.75,606.76,8893810,606.7168,602.0037,600.0438,1.442,1.7305,62.501,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 16:00:00-04:00,606.76,606.91,600.1507,606.755,0,606.7836,602.188,600.0627,1.3203,1.6484,62.4441,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-25 09:30:00-04:00,607.91,608.61,607.75,608.29,4958268,606.9103,602.4049,600.0872,1.3324,1.5852,71.1214,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-25 09:45:00-04:00,608.29,608.415,607.45,608.16,3992992,607.0188,602.6375,600.1125,1.3163,1.5314,69.6535,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-25 10:00:00-04:00,608.17,608.3499,607.37,607.46,2247644,607.1041,602.8366,600.1343,1.2328,1.4717,62.209,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-25 10:15:00-04:00,607.36,607.93,607.34,607.69,2389820,607.1846,603.0588,600.1587,1.1718,1.4117,63.5861,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-06-25 10:30:00-04:00,607.7,608.185,607.51,608.14,1652789,607.267,603.2998,600.1854,1.1464,1.3587,66.1829,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-25 10:45:00-04:00,608.14,608.41,607.65,607.775,2038607,607.2992,603.5381,600.2077,1.0844,1.3038,62.3022,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
